purchase_id,order_date,supplier_id,product_id,quantity,purchase_price
PO0092,2025-03-02,S001,P016,112,91.3
PO0093,2025-04-05,S003,P015,42,63.0
PO0094,2025-04-12,S007,P016,124,97.76
PO0095,2025-01-19,S006,P005,38,532.8
PO0096,2025-06-24,S006,P017,52,18.16
PO0097,2025-05-22,S003,P019,53,154.67
PO0098,2025-01-15,S003,P004,97,355.12
PO0099,2025-03-24,S006,P008,92,114.69
PO0100,2025-03-06,S005,P007,52,42.63
PO0101,2025-06-07,S002,P018,148,27.24
PO0102,2025-06-01,S003,P019,63,164.17
PO0103,2025-06-04,S001,P011,27,213.2
PO0104,2025-06-14,S005,P019,73,168.71
PO0105,2025-04-17,S001,P020,147,149.0
PO0106,2025-05-20,S005,P010,143,664.03
PO0107,2025-06-25,S005,P013,136,49.84
PO0108,2025-01-16,S008,P006,126,63.48
PO0109,2025-02-22,S003,P011,100,263.14
PO0110,2025-03-23,S007,P012,53,521.39
PO0111,2025-05-12,S002,P018,101,24.44
PO0112,2025-02-01,S008,P009,83,528.98
PO0113,2025-01-13,S007,P010,127,664.67
PO0114,2025-02-10,S006,P011,68,256.84
PO0115,2025-05-08,S008,P017,147,18.17
PO0116,2025-05-08,S002,P001,120,1840.17
PO0117,2025-03-03,S006,P007,32,36.31
PO0118,2025-05-07,S008,P020,93,136.32
PO0119,2025-01-28,S003,P014,87,14.32
PO0120,2025-04-14,S001,P012,122,429.15
PO0121,2025-05-24,S006,P007,93,36.56
PO0122,2025-05-10,S005,P015,50,64.19
PO0123,2025-01-25,S006,P013,106,57.12
PO0124,2025-04-04,S004,P005,150,525.8
PO0125,2025-01-11,S001,P002,55,1743.98
PO0126,2025-05-02,S008,P017,58,16.97
PO0127,2025-05-12,S006,P005,101,491.4
PO0128,2025-06-07,S006,P010,149,774.87
PO0129,2025-05-17,S005,P016,141,97.58
PO0130,2025-04-05,S002,P011,126,245.36
PO0131,2025-06-26,S008,P001,87,2066.36
PO0132,2025-05-29,S004,P019,33,161.01
PO0133,2025-02-13,S007,P017,57,17.92
PO0134,2025-03-04,S002,P002,68,1438.33
PO0135,2025-03-22,S003,P014,125,14.19
PO0136,2025-04-16,S008,P017,35,17.41
PO0137,2025-05-13,S006,P007,142,41.53
PO0138,2025-03-22,S008,P006,107,64.54
PO0139,2025-06-23,S008,P009,69,656.34
PO0140,2025-03-13,S005,P018,77,29.34
PO0141,2025-03-18,S004,P010,145,677.74
PO0142,2025-03-31,S005,P018,93,23.6
PO0143,2025-06-23,S007,P018,121,28.48
PO0144,2025-02-07,S001,P010,93,799.01
PO0145,2025-01-21,S008,P012,85,519.65
PO0146,2025-02-24,S005,P007,89,37.26
PO0147,2025-06-07,S004,P019,82,138.63
PO0148,2025-05-16,S004,P008,33,93.81
PO0149,2025-03-26,S002,P016,55,78.12
PO0150,2025-05-21,S007,P006,141,63.37
