movement_id,movement_date,product_id,warehouse_id,movement_type,quantity
M00072,2025-04-20,P015,W001,IN,106
M00073,2025-05-12,P016,W004,IN,88
M00074,2025-04-29,P003,W002,IN,66
M00075,2025-03-29,P004,W001,IN,103
M00076,2025-03-22,P015,W003,IN,62
M00077,2025-04-09,P015,W004,IN,110
M00078,2025-05-02,P009,W004,IN,39
M00079,2025-04-19,P012,W002,IN,27
M00080,2025-06-14,P015,W003,IN,52
M00081,2025-06-19,P012,W003,IN,118
M00082,2025-01-14,P020,W001,IN,135
M00083,2025-04-08,P015,W004,IN,55
M00084,2025-04-14,P011,W002,IN,83
M00085,2025-01-12,P006,W001,IN,119
M00086,2025-02-03,P009,W001,IN,134
M00087,2025-06-15,P010,W001,IN,71
M00088,2025-01-24,P015,W001,IN,133
M00089,2025-07-02,P011,W004,IN,36
M00090,2025-03-21,P010,W002,IN,64
M00091,2025-05-13,P008,W002,IN,71
M00092,2025-03-12,P016,W003,IN,112
M00093,2025-04-10,P015,W003,IN,42
M00094,2025-04-19,P016,W002,IN,124
M00095,2025-01-25,P005,W002,IN,38
M00096,2025-07-04,P017,W002,IN,52
M00097,2025-05-30,P019,W003,IN,53
M00098,2025-01-21,P004,W001,IN,97
M00099,2025-04-03,P008,W002,IN,92
M00100,2025-03-14,P007,W004,IN,52
M00101,2025-06-09,P018,W003,IN,148
M00102,2025-06-09,P019,W003,IN,63
M00103,2025-06-12,P011,W004,IN,27
M00104,2025-06-18,P019,W003,IN,73
M00105,2025-04-25,P020,W002,IN,147
M00106,2025-05-30,P010,W004,IN,143
M00107,2025-06-30,P013,W002,IN,136
M00108,2025-01-22,P006,W002,IN,126
M00109,2025-03-03,P011,W001,IN,100
M00110,2025-04-02,P012,W004,IN,53
M00111,2025-05-20,P018,W002,IN,101
M00112,2025-02-09,P009,W002,IN,83
M00113,2025-01-19,P010,W002,IN,127
M00114,2025-02-17,P011,W001,IN,68
M00115,2025-05-17,P017,W003,IN,147
M00116,2025-05-11,P001,W002,IN,120
M00117,2025-03-05,P007,W003,IN,32
M00118,2025-05-15,P020,W001,IN,93
M00119,2025-01-31,P014,W002,IN,87
M00120,2025-04-24,P012,W002,IN,122
M00121,2025-06-02,P007,W002,IN,93
M00122,2025-05-17,P015,W003,IN,50
M00123,2025-01-27,P013,W002,IN,106
M00124,2025-04-09,P005,W001,IN,150
M00125,2025-01-20,P002,W002,IN,55
M00126,2025-05-07,P017,W004,IN,58
M00127,2025-05-17,P005,W003,IN,101
M00128,2025-06-13,P010,W004,IN,149
M00129,2025-05-26,P016,W003,IN,141
M00130,2025-04-11,P011,W003,IN,126
M00131,2025-07-03,P001,W004,IN,87
M00132,2025-06-07,P019,W001,IN,33
M00133,2025-02-22,P017,W003,IN,57
M00134,2025-03-09,P002,W003,IN,68
M00135,2025-03-29,P014,W004,IN,125
M00136,2025-04-18,P017,W002,IN,35
M00137,2025-05-17,P007,W001,IN,142
M00138,2025-03-28,P006,W004,IN,107
M00139,2025-06-29,P009,W002,IN,69
M00140,2025-03-18,P018,W003,IN,77
M00141,2025-03-23,P010,W004,IN,145
M00142,2025-04-05,P018,W004,IN,93
M00143,2025-07-03,P018,W003,IN,121
M00144,2025-02-13,P010,W004,IN,93
M00145,2025-01-30,P012,W004,IN,85
M00146,2025-02-28,P007,W003,IN,89
M00147,2025-06-11,P019,W002,IN,82
M00148,2025-05-26,P008,W004,IN,33
M00149,2025-03-30,P016,W001,IN,55
M00150,2025-05-31,P006,W001,IN,141
M00151,2025-06-13,P004,W001,OUT,9
M00152,2025-02-05,P004,W001,OUT,18
M00153,2025-04-19,P002,W001,OUT,3
M00154,2025-05-10,P020,W004,OUT,18
M00155,2025-06-16,P018,W002,OUT,8
M00156,2025-03-13,P001,W002,OUT,6
M00157,2025-03-29,P009,W001,OUT,7
M00158,2025-03-28,P004,W002,OUT,13
M00159,2025-03-30,P020,W001,OUT,2
M00160,2025-05-18,P004,W002,OUT,13
M00161,2025-03-17,P020,W004,OUT,12
M00162,2025-06-30,P003,W003,OUT,8
M00163,2025-01-21,P008,W001,OUT,4
M00164,2025-04-27,P012,W004,OUT,12
M00165,2025-06-21,P009,W004,OUT,3
M00166,2025-02-13,P018,W001,OUT,8
M00167,2025-04-08,P009,W001,OUT,18
M00168,2025-03-25,P002,W004,OUT,2
M00169,2025-04-13,P009,W001,OUT,7
M00170,2025-05-26,P011,W001,OUT,16
M00171,2025-06-14,P015,W003,OUT,9
M00172,2025-05-24,P018,W003,OUT,19
M00173,2025-05-30,P013,W001,OUT,8
M00174,2025-02-05,P017,W004,OUT,3
M00175,2025-01-29,P005,W002,OUT,6
M00176,2025-04-19,P020,W001,OUT,13
M00177,2025-04-30,P017,W001,OUT,18
M00178,2025-01-03,P004,W002,OUT,18
M00179,2025-06-14,P011,W002,OUT,10
M00180,2025-04-27,P001,W002,OUT,9
M00181,2025-02-15,P017,W003,OUT,4
M00182,2025-03-18,P017,W003,OUT,7
M00183,2025-02-11,P018,W003,OUT,17
M00184,2025-06-03,P011,W004,OUT,1
M00185,2025-04-03,P010,W001,OUT,2
M00186,2025-05-26,P003,W003,OUT,16
M00187,2025-05-17,P005,W004,OUT,16
M00188,2025-02-12,P009,W004,OUT,20
M00189,2025-02-24,P018,W002,OUT,7
M00190,2025-04-13,P012,W002,OUT,17
M00191,2025-03-05,P008,W003,OUT,11
M00192,2025-05-22,P008,W001,OUT,8
M00193,2025-06-11,P002,W001,OUT,3
M00194,2025-03-26,P003,W001,OUT,8
M00195,2025-05-05,P007,W004,OUT,5
M00196,2025-05-27,P019,W004,OUT,8
M00197,2025-04-15,P007,W004,OUT,4
M00198,2025-04-01,P014,W004,OUT,15
M00199,2025-01-14,P004,W001,OUT,13
M00200,2025-01-28,P008,W001,OUT,7
M00201,2025-02-05,P014,W002,OUT,9
M00202,2025-01-20,P015,W001,OUT,18
M00203,2025-06-16,P018,W004,OUT,1
M00204,2025-03-02,P006,W004,OUT,16
M00205,2025-04-13,P002,W003,OUT,13
M00206,2025-04-10,P009,W001,OUT,15
M00207,2025-06-28,P018,W001,OUT,16
M00208,2025-03-17,P007,W002,OUT,19
M00209,2025-01-16,P011,W002,OUT,2
M00210,2025-05-09,P017,W004,OUT,2
M00211,2025-01-21,P006,W003,OUT,20
M00212,2025-03-02,P013,W001,OUT,19
M00213,2025-06-02,P002,W001,OUT,3
M00214,2025-05-30,P019,W003,OUT,11
M00215,2025-02-22,P011,W001,OUT,9
M00216,2025-06-21,P010,W002,OUT,11
M00217,2025-01-19,P001,W003,OUT,20
M00218,2025-01-26,P003,W001,OUT,7
M00219,2025-02-03,P012,W002,OUT,3
M00220,2025-04-05,P010,W002,OUT,15
M00221,2025-06-30,P010,W004,OUT,17
M00222,2025-05-22,P010,W001,OUT,4
M00223,2025-02-04,P009,W003,OUT,4
M00224,2025-02-09,P009,W002,OUT,20
M00225,2025-03-29,P007,W002,OUT,9
M00226,2025-03-06,P002,W004,OUT,14
M00227,2025-01-12,P001,W003,OUT,5
M00228,2025-03-09,P006,W004,OUT,15
M00229,2025-04-20,P018,W002,OUT,4
M00230,2025-06-26,P005,W001,OUT,2
M00231,2025-05-30,P018,W003,OUT,14
M00232,2025-03-20,P012,W001,OUT,2
M00233,2025-02-23,P008,W001,OUT,4
M00234,2025-05-24,P014,W004,OUT,5
M00235,2025-03-02,P006,W002,OUT,6
M00236,2025-01-07,P006,W001,OUT,11
M00237,2025-04-16,P008,W003,OUT,6
M00238,2025-01-28,P013,W004,OUT,2
M00239,2025-02-26,P007,W003,OUT,15
M00240,2025-02-28,P008,W001,OUT,7
M00241,2025-03-13,P003,W003,OUT,9
M00242,2025-05-11,P013,W004,OUT,18
M00243,2025-01-08,P004,W004,OUT,9
M00244,2025-03-09,P002,W002,OUT,20
M00245,2025-03-22,P014,W003,OUT,17
M00246,2025-05-28,P007,W004,OUT,2
M00247,2025-01-01,P017,W004,OUT,18
M00248,2025-06-21,P007,W002,OUT,14
M00249,2025-06-20,P011,W004,OUT,11
M00250,2025-02-01,P010,W001,OUT,10
M00251,2025-03-25,P013,W003,OUT,10
M00252,2025-02-19,P014,W002,OUT,13
M00253,2025-02-14,P020,W001,OUT,10
M00254,2025-01-01,P010,W001,OUT,7
M00255,2025-05-29,P020,W003,OUT,11
M00256,2025-04-24,P007,W002,OUT,16
M00257,2025-02-13,P003,W004,OUT,17
M00258,2025-06-08,P011,W002,OUT,8
M00259,2025-02-27,P007,W004,OUT,1
M00260,2025-05-02,P020,W003,OUT,3
M00261,2025-06-11,P019,W003,OUT,13
M00262,2025-03-04,P005,W001,OUT,1
M00263,2025-01-28,P014,W001,OUT,6
M00264,2025-06-28,P017,W001,OUT,2
M00265,2025-02-01,P015,W003,OUT,15
M00266,2025-05-24,P020,W004,OUT,15
M00267,2025-05-10,P014,W003,OUT,18
M00268,2025-02-10,P016,W003,OUT,9
M00269,2025-06-13,P009,W001,OUT,17
M00270,2025-03-03,P009,W002,OUT,3
M00271,2025-03-02,P009,W001,OUT,11
M00272,2025-01-21,P005,W002,OUT,8
M00273,2025-02-09,P007,W004,OUT,14
M00274,2025-05-19,P015,W004,OUT,2
M00275,2025-04-18,P013,W004,OUT,19
M00276,2025-01-06,P019,W001,OUT,16
M00277,2025-04-01,P010,W001,OUT,13
M00278,2025-04-18,P018,W001,OUT,18
M00279,2025-02-26,P016,W003,OUT,9
M00280,2025-01-08,P013,W001,OUT,13
M00281,2025-04-30,P005,W003,OUT,18
M00282,2025-04-11,P019,W004,OUT,1
M00283,2025-04-20,P005,W001,OUT,15
M00284,2025-03-08,P013,W003,OUT,7
M00285,2025-03-28,P013,W004,OUT,14
M00286,2025-01-21,P016,W004,OUT,18
M00287,2025-03-31,P008,W001,OUT,3
M00288,2025-06-16,P002,W002,OUT,1
M00289,2025-02-21,P001,W002,OUT,5
M00290,2025-05-02,P004,W004,OUT,7
M00291,2025-03-07,P012,W002,OUT,20
M00292,2025-01-30,P006,W002,OUT,4
M00293,2025-03-21,P019,W003,OUT,13
M00294,2025-02-20,P003,W003,OUT,8
M00295,2025-03-19,P020,W003,OUT,4
M00296,2025-05-25,P002,W004,OUT,18
M00297,2025-04-05,P003,W002,OUT,11
M00298,2025-04-18,P016,W001,OUT,14
M00299,2025-06-12,P015,W002,OUT,5
M00300,2025-05-14,P009,W004,OUT,18
M00301,2025-04-30,P014,W003,OUT,19
M00302,2025-03-04,P003,W004,OUT,15
M00303,2025-04-29,P019,W003,OUT,13
M00304,2025-05-07,P011,W004,OUT,16
M00305,2025-03-08,P011,W001,OUT,20
M00306,2025-03-12,P018,W003,OUT,17
M00307,2025-01-22,P008,W003,OUT,14
M00308,2025-03-03,P016,W002,OUT,16
M00309,2025-01-05,P003,W004,OUT,8
M00310,2025-03-04,P010,W002,OUT,19
M00311,2025-05-22,P017,W004,OUT,14
M00312,2025-05-21,P011,W001,OUT,15
M00313,2025-03-06,P008,W002,OUT,7
M00314,2025-05-18,P006,W003,OUT,7
M00315,2025-03-12,P019,W001,OUT,17
M00316,2025-01-26,P007,W004,OUT,8
M00317,2025-03-19,P001,W003,OUT,18
M00318,2025-01-12,P002,W004,OUT,10
M00319,2025-02-02,P016,W003,OUT,1
M00320,2025-05-01,P016,W004,OUT,11
M00321,2025-01-14,P009,W003,OUT,16
M00322,2025-01-17,P013,W004,OUT,3
M00323,2025-06-25,P002,W002,OUT,5
M00324,2025-03-19,P003,W003,OUT,4
M00325,2025-04-17,P020,W003,OUT,20
M00326,2025-05-14,P013,W002,OUT,15
M00327,2025-05-31,P014,W004,OUT,19
M00328,2025-06-06,P004,W003,OUT,7
M00329,2025-03-09,P003,W002,OUT,8
M00330,2025-01-20,P006,W004,OUT,14
M00331,2025-06-02,P016,W003,OUT,2
M00332,2025-06-30,P010,W003,OUT,15
M00333,2025-03-01,P009,W004,OUT,19
M00334,2025-02-20,P014,W002,OUT,18
M00335,2025-02-08,P009,W003,OUT,5
M00336,2025-02-12,P010,W004,OUT,19
M00337,2025-04-23,P004,W003,OUT,10
M00338,2025-03-11,P017,W004,OUT,16
M00339,2025-06-03,P002,W003,OUT,14
M00340,2025-06-04,P009,W001,OUT,3
M00341,2025-06-22,P019,W002,OUT,1
M00342,2025-06-22,P009,W002,OUT,2
M00343,2025-02-14,P016,W001,OUT,15
M00344,2025-02-16,P019,W004,OUT,16
M00345,2025-05-01,P012,W002,OUT,11
M00346,2025-01-27,P006,W004,OUT,14
M00347,2025-03-15,P013,W003,OUT,18
M00348,2025-01-23,P011,W001,OUT,11
M00349,2025-04-14,P017,W004,OUT,1
M00350,2025-05-19,P015,W004,OUT,2
M00351,2025-04-03,P020,W002,OUT,16
M00352,2025-01-14,P007,W003,OUT,18
M00353,2025-03-15,P015,W002,OUT,16
M00354,2025-06-11,P020,W003,OUT,8
M00355,2025-03-21,P018,W002,OUT,18
M00356,2025-02-27,P004,W004,OUT,4
M00357,2025-02-09,P016,W004,OUT,10
M00358,2025-03-11,P014,W001,OUT,16
M00359,2025-03-04,P015,W004,OUT,5
M00360,2025-06-03,P017,W004,OUT,5
M00361,2025-03-12,P014,W004,OUT,17
M00362,2025-01-01,P010,W004,OUT,10
M00363,2025-05-29,P016,W001,OUT,5
M00364,2025-05-04,P012,W003,OUT,18
M00365,2025-04-07,P015,W001,OUT,11
M00366,2025-06-28,P008,W001,OUT,13
M00367,2025-04-16,P002,W002,OUT,16
M00368,2025-04-08,P013,W003,OUT,5
M00369,2025-01-10,P005,W002,OUT,19
M00370,2025-01-26,P015,W001,OUT,17
M00371,2025-01-04,P005,W004,OUT,5
M00372,2025-03-09,P011,W003,OUT,13
M00373,2025-03-26,P018,W004,OUT,11
M00374,2025-05-05,P018,W001,OUT,20
M00375,2025-06-11,P010,W001,OUT,3
M00376,2025-01-26,P004,W001,OUT,6
M00377,2025-01-08,P002,W003,OUT,2
M00378,2025-04-06,P014,W002,OUT,8
M00379,2025-05-25,P006,W002,OUT,6
M00380,2025-04-08,P020,W004,OUT,8
M00381,2025-05-30,P005,W003,OUT,15
M00382,2025-04-28,P009,W004,OUT,1
M00383,2025-04-30,P010,W004,OUT,18
M00384,2025-04-24,P012,W002,OUT,10
M00385,2025-04-19,P009,W003,OUT,10
M00386,2025-04-09,P016,W001,OUT,8
M00387,2025-04-02,P019,W004,OUT,10
M00388,2025-06-18,P013,W001,OUT,1
M00389,2025-06-25,P002,W003,OUT,20
M00390,2025-03-15,P008,W004,OUT,12
M00391,2025-02-18,P020,W001,OUT,5
M00392,2025-06-10,P002,W001,OUT,15
M00393,2025-04-04,P005,W002,OUT,10
M00394,2025-04-17,P006,W003,OUT,5
M00395,2025-04-04,P017,W003,OUT,9
M00396,2025-03-07,P016,W003,OUT,10
M00397,2025-03-28,P004,W004,OUT,3
M00398,2025-02-27,P013,W002,OUT,18
M00399,2025-04-12,P001,W004,OUT,18
M00400,2025-04-05,P009,W003,OUT,13
M00401,2025-04-06,P004,W004,OUT,8
M00402,2025-06-08,P018,W001,OUT,20
M00403,2025-01-17,P015,W004,OUT,10
M00404,2025-01-30,P005,W004,OUT,2
M00405,2025-05-07,P004,W003,OUT,8
M00406,2025-02-04,P013,W001,OUT,12
M00407,2025-06-28,P018,W003,OUT,19
M00408,2025-02-09,P014,W001,OUT,4
M00409,2025-06-07,P014,W001,OUT,2
M00410,2025-02-25,P015,W001,OUT,8
M00411,2025-01-26,P012,W003,OUT,12
M00412,2025-03-12,P007,W001,OUT,15
M00413,2025-02-24,P020,W002,OUT,2
M00414,2025-03-04,P005,W002,OUT,19
M00415,2025-05-22,P007,W002,OUT,7
M00416,2025-03-01,P011,W002,OUT,5
M00417,2025-06-02,P001,W003,OUT,5
M00418,2025-05-19,P009,W004,OUT,6
M00419,2025-01-07,P005,W004,OUT,12
M00420,2025-03-02,P019,W002,OUT,1
M00421,2025-01-14,P005,W004,OUT,14
M00422,2025-01-17,P016,W002,OUT,12
M00423,2025-01-28,P015,W002,OUT,8
M00424,2025-01-12,P017,W004,OUT,15
M00425,2025-01-08,P002,W004,OUT,13
M00426,2025-01-28,P016,W001,OUT,15
M00427,2025-01-21,P011,W002,OUT,5
M00428,2025-03-12,P020,W004,OUT,19
M00429,2025-03-25,P013,W004,OUT,17
M00430,2025-05-10,P020,W004,OUT,4
M00431,2025-01-30,P018,W001,OUT,7
M00432,2025-02-28,P014,W002,OUT,15
M00433,2025-01-25,P011,W002,OUT,11
M00434,2025-04-06,P005,W003,OUT,16
M00435,2025-01-22,P003,W001,OUT,4
M00436,2025-04-06,P005,W001,OUT,2
M00437,2025-05-24,P018,W002,OUT,4
M00438,2025-06-20,P014,W003,OUT,2
M00439,2025-06-03,P010,W003,OUT,4
M00440,2025-02-24,P005,W002,OUT,16
M00441,2025-01-28,P012,W004,OUT,18
M00442,2025-03-13,P019,W001,OUT,14
M00443,2025-06-09,P020,W003,OUT,18
M00444,2025-06-18,P009,W004,OUT,6
M00445,2025-03-21,P011,W003,OUT,1
M00446,2025-02-06,P019,W004,OUT,13
M00447,2025-06-12,P001,W004,OUT,17
M00448,2025-04-18,P015,W001,OUT,6
M00449,2025-03-25,P019,W003,OUT,3
M00450,2025-02-09,P006,W003,OUT,20
M00451,2025-04-28,P020,W002,ADJUSTMENT_OUT,2
M00452,2025-06-22,P005,W003,ADJUSTMENT_IN,4
M00453,2025-03-20,P004,W002,ADJUSTMENT_OUT,3
M00454,2025-05-11,P013,W004,ADJUSTMENT_IN,7
M00455,2025-04-19,P006,W004,ADJUSTMENT_IN,3
M00456,2025-05-06,P010,W002,ADJUSTMENT_IN,6
M00457,2025-04-26,P020,W001,ADJUSTMENT_OUT,1
M00458,2025-05-05,P005,W002,ADJUSTMENT_OUT,8
M00459,2025-04-15,P016,W004,ADJUSTMENT_OUT,8
M00460,2025-02-12,P003,W001,ADJUSTMENT_IN,5
M00461,2025-01-09,P009,W002,ADJUSTMENT_OUT,3
M00462,2025-04-28,P019,W004,ADJUSTMENT_IN,2
M00463,2025-03-10,P018,W003,ADJUSTMENT_IN,8
M00464,2025-05-20,P007,W004,ADJUSTMENT_IN,4
M00465,2025-03-18,P002,W004,ADJUSTMENT_OUT,6
M00466,2025-01-23,P015,W001,ADJUSTMENT_IN,4
M00467,2025-05-31,P012,W004,ADJUSTMENT_IN,3
M00468,2025-02-22,P007,W001,ADJUSTMENT_OUT,5
M00469,2025-06-02,P018,W002,ADJUSTMENT_OUT,5
M00470,2025-03-16,P019,W003,ADJUSTMENT_IN,3
M00471,2025-04-16,P002,W003,ADJUSTMENT_IN,3
M00472,2025-03-05,P005,W003,ADJUSTMENT_IN,7
M00473,2025-05-06,P005,W003,ADJUSTMENT_OUT,7
M00474,2025-04-26,P003,W001,ADJUSTMENT_OUT,5
M00475,2025-06-27,P012,W004,ADJUSTMENT_OUT,6
M00476,2025-05-29,P001,W001,ADJUSTMENT_OUT,6
M00477,2025-01-17,P018,W004,ADJUSTMENT_IN,7
M00478,2025-02-24,P016,W003,ADJUSTMENT_OUT,5
M00479,2025-03-28,P018,W002,ADJUSTMENT_OUT,6
M00480,2025-06-24,P002,W001,ADJUSTMENT_IN,8
