delivery_id,order_id,order_type,carrier_id,expected_date,actual_date,status
71,SO0071,SALE,CR002,2025-07-04,2025-07-06,Delayed
72,SO0072,SALE,CR004,2025-05-27,2025-05-27,On Time
73,SO0073,SALE,CR005,2025-02-07,2025-02-09,Delayed
74,SO0074,SALE,CR004,2025-02-12,2025-02-12,On Time
75,SO0075,SALE,CR003,2025-03-31,2025-03-31,On Time
76,SO0076,SALE,CR001,2025-03-08,2025-03-13,Delayed
77,SO0077,SALE,CR003,2025-01-17,2025-01-20,Delayed
78,SO0078,SALE,CR002,2025-03-11,2025-03-11,On Time
79,SO0079,SALE,CR001,2025-04-25,2025-04-26,Delayed
80,SO0080,SALE,CR001,2025-06-29,2025-07-01,Delayed
81,SO0081,SALE,CR005,2025-06-01,2025-06-06,Delayed
82,SO0082,SALE,CR003,2025-03-25,2025-03-27,Delayed
83,SO0083,SALE,CR001,2025-02-28,2025-03-07,Delayed
84,SO0084,SALE,CR004,2025-05-26,2025-05-27,Delayed
85,SO0085,SALE,CR001,2025-03-04,2025-03-05,Delayed
86,SO0086,SALE,CR002,2025-01-12,2025-01-14,Delayed
87,SO0087,SALE,CR003,2025-04-19,2025-04-19,On Time
88,SO0088,SALE,CR003,2025-02-02,2025-02-04,Delayed
89,SO0089,SALE,CR002,2025-03-02,2025-03-03,Delayed
90,SO0090,SALE,CR002,2025-03-02,2025-03-07,Delayed
91,SO0091,SALE,CR002,2025-03-15,2025-03-15,On Time
92,SO0092,SALE,CR004,2025-05-16,2025-05-17,Delayed
93,SO0093,SALE,CR002,2025-01-10,2025-01-11,Delayed
94,SO0094,SALE,CR003,2025-03-14,2025-03-14,On Time
95,SO0095,SALE,CR003,2025-03-24,2025-03-24,On Time
96,SO0096,SALE,CR003,2025-05-30,2025-05-30,On Time
97,SO0097,SALE,CR002,2025-01-04,2025-01-04,On Time
98,SO0098,SALE,CR001,2025-06-25,2025-06-25,On Time
99,SO0099,SALE,CR002,2025-06-24,2025-06-24,On Time
100,SO0100,SALE,CR004,2025-02-03,2025-02-08,Delayed
101,SO0101,SALE,CR001,2025-03-28,2025-03-28,On Time
102,SO0102,SALE,CR001,2025-02-22,2025-02-22,On Time
103,SO0103,SALE,CR004,2025-02-17,2025-02-17,On Time
104,SO0104,SALE,CR001,2025-01-05,2025-01-07,Delayed
105,SO0105,SALE,CR001,2025-06-02,2025-06-07,Delayed
106,SO0106,SALE,CR002,2025-04-26,2025-05-03,Delayed
107,SO0107,SALE,CR001,2025-02-18,2025-02-21,Delayed
108,SO0108,SALE,CR004,2025-06-12,2025-06-12,On Time
109,SO0109,SALE,CR005,2025-03-01,2025-03-01,On Time
110,SO0110,SALE,CR004,2025-05-07,2025-05-10,Delayed
111,SO0111,SALE,CR004,2025-06-16,2025-06-15,On Time
112,SO0112,SALE,CR002,2025-03-07,2025-03-07,On Time
113,SO0113,SALE,CR002,2025-02-01,2025-02-01,On Time
114,SO0114,SALE,CR005,2025-06-30,2025-07-01,Delayed
115,SO0115,SALE,CR004,2025-02-04,2025-02-05,Delayed
116,SO0116,SALE,CR004,2025-05-29,2025-06-01,Delayed
117,SO0117,SALE,CR004,2025-05-12,2025-05-12,On Time
118,SO0118,SALE,CR005,2025-02-13,2025-02-13,On Time
119,SO0119,SALE,CR005,2025-06-16,2025-06-17,Delayed
120,SO0120,SALE,CR003,2025-03-05,2025-03-12,Delayed
121,SO0121,SALE,CR004,2025-03-07,2025-03-08,Delayed
122,SO0122,SALE,CR005,2025-01-25,2025-01-30,Delayed
123,SO0123,SALE,CR002,2025-02-13,2025-02-13,On Time
124,SO0124,SALE,CR002,2025-05-21,2025-05-21,On Time
125,SO0125,SALE,CR003,2025-04-20,2025-04-23,Delayed
126,SO0126,SALE,CR004,2025-01-08,2025-01-11,Delayed
127,SO0127,SALE,CR002,2025-04-05,2025-04-07,Delayed
128,SO0128,SALE,CR002,2025-04-21,2025-04-21,On Time
129,SO0129,SALE,CR001,2025-03-02,2025-03-03,Delayed
130,SO0130,SALE,CR004,2025-01-11,2025-01-12,Delayed
131,SO0131,SALE,CR002,2025-05-04,2025-05-09,Delayed
132,SO0132,SALE,CR003,2025-04-14,2025-04-14,On Time
133,SO0133,SALE,CR001,2025-04-24,2025-04-29,Delayed
134,SO0134,SALE,CR005,2025-03-12,2025-03-17,Delayed
135,SO0135,SALE,CR002,2025-03-31,2025-04-01,Delayed
136,SO0136,SALE,CR002,2025-01-26,2025-01-27,Delayed
137,SO0137,SALE,CR001,2025-04-05,2025-04-04,On Time
138,SO0138,SALE,CR001,2025-06-19,2025-06-20,Delayed
139,SO0139,SALE,CR005,2025-02-26,2025-02-25,On Time
140,SO0140,SALE,CR003,2025-05-05,2025-05-08,Delayed
141,SO0141,SALE,CR003,2025-03-10,2025-03-15,Delayed
142,SO0142,SALE,CR005,2025-02-01,2025-01-31,On Time
143,SO0143,SALE,CR005,2025-03-24,2025-03-26,Delayed
144,SO0144,SALE,CR003,2025-02-24,2025-03-01,Delayed
145,SO0145,SALE,CR003,2025-03-24,2025-03-25,Delayed
146,SO0146,SALE,CR002,2025-05-29,2025-05-29,On Time
147,SO0147,SALE,CR004,2025-04-10,2025-04-12,Delayed
148,SO0148,SALE,CR005,2025-04-22,2025-04-22,On Time
149,SO0149,SALE,CR005,2025-06-16,2025-06-16,On Time
150,SO0150,SALE,CR003,2025-05-17,2025-05-17,On Time
151,SO0151,SALE,CR001,2025-05-03,2025-05-03,On Time
152,SO0152,SALE,CR005,2025-03-09,2025-03-12,Delayed
153,SO0153,SALE,CR003,2025-05-01,2025-05-01,On Time
154,SO0154,SALE,CR001,2025-05-10,2025-05-11,Delayed
155,SO0155,SALE,CR001,2025-03-13,2025-03-13,On Time
156,SO0156,SALE,CR003,2025-03-15,2025-03-15,On Time
157,SO0157,SALE,CR001,2025-01-25,2025-01-26,Delayed
158,SO0158,SALE,CR003,2025-03-07,2025-03-07,On Time
159,SO0159,SALE,CR001,2025-01-08,2025-01-08,On Time
160,SO0160,SALE,CR001,2025-03-08,2025-03-08,On Time
161,SO0161,SALE,CR004,2025-05-24,2025-05-23,On Time
162,SO0162,SALE,CR004,2025-05-26,2025-05-31,Delayed
163,SO0163,SALE,CR003,2025-03-11,2025-03-14,Delayed
164,SO0164,SALE,CR004,2025-05-23,2025-05-23,On Time
165,SO0165,SALE,CR001,2025-03-15,2025-03-15,On Time
166,SO0166,SALE,CR003,2025-01-28,2025-01-28,On Time
167,SO0167,SALE,CR001,2025-03-23,2025-03-28,Delayed
168,SO0168,SALE,CR004,2025-01-16,2025-01-16,On Time
169,SO0169,SALE,CR005,2025-02-05,2025-02-07,Delayed
170,SO0170,SALE,CR005,2025-05-03,2025-05-03,On Time
171,SO0171,SALE,CR004,2025-01-19,2025-01-21,Delayed
172,SO0172,SALE,CR004,2025-01-20,2025-01-21,Delayed
173,SO0173,SALE,CR003,2025-06-28,2025-06-28,On Time
174,SO0174,SALE,CR004,2025-03-22,2025-03-29,Delayed
175,SO0175,SALE,CR003,2025-04-21,2025-04-23,Delayed
176,SO0176,SALE,CR004,2025-05-17,2025-05-17,On Time
177,SO0177,SALE,CR003,2025-06-05,2025-06-05,On Time
178,SO0178,SALE,CR003,2025-06-08,2025-06-08,On Time
179,SO0179,SALE,CR001,2025-03-14,2025-03-14,On Time
180,SO0180,SALE,CR003,2025-01-23,2025-01-23,On Time
181,SO0181,SALE,CR001,2025-06-04,2025-06-05,Delayed
182,SO0182,SALE,CR004,2025-07-04,2025-07-06,Delayed
183,SO0183,SALE,CR003,2025-03-06,2025-03-09,Delayed
184,SO0184,SALE,CR004,2025-02-22,2025-02-23,Delayed
185,SO0185,SALE,CR004,2025-02-11,2025-02-11,On Time
186,SO0186,SALE,CR001,2025-02-16,2025-02-16,On Time
187,SO0187,SALE,CR003,2025-04-27,2025-04-27,On Time
188,SO0188,SALE,CR005,2025-03-14,2025-03-17,Delayed
189,SO0189,SALE,CR001,2025-06-05,2025-06-05,On Time
190,SO0190,SALE,CR005,2025-06-06,2025-06-08,Delayed
191,SO0191,SALE,CR005,2025-06-27,2025-07-04,Delayed
192,SO0192,SALE,CR004,2025-06-25,2025-06-26,Delayed
193,SO0193,SALE,CR004,2025-02-19,2025-02-24,Delayed
194,SO0194,SALE,CR001,2025-02-19,2025-02-20,Delayed
195,SO0195,SALE,CR001,2025-05-06,2025-05-11,Delayed
196,SO0196,SALE,CR004,2025-01-30,2025-01-30,On Time
197,SO0197,SALE,CR002,2025-03-18,2025-03-23,Delayed
198,SO0198,SALE,CR002,2025-01-26,2025-01-29,Delayed
199,SO0199,SALE,CR004,2025-04-16,2025-04-16,On Time
200,SO0200,SALE,CR002,2025-05-22,2025-05-29,Delayed
201,SO0201,SALE,CR001,2025-04-07,2025-04-07,On Time
202,SO0202,SALE,CR004,2025-01-16,2025-01-16,On Time
203,SO0203,SALE,CR005,2025-03-19,2025-03-22,Delayed
204,SO0204,SALE,CR001,2025-06-16,2025-06-21,Delayed
205,SO0205,SALE,CR002,2025-03-26,2025-03-26,On Time
206,SO0206,SALE,CR005,2025-03-02,2025-03-03,Delayed
207,SO0207,SALE,CR005,2025-02-11,2025-02-16,Delayed
208,SO0208,SALE,CR005,2025-03-13,2025-03-15,Delayed
209,SO0209,SALE,CR003,2025-03-08,2025-03-11,Delayed
210,SO0210,SALE,CR005,2025-06-08,2025-06-10,Delayed
211,SO0211,SALE,CR003,2025-03-17,2025-03-16,On Time
212,SO0212,SALE,CR005,2025-01-06,2025-01-06,On Time
213,SO0213,SALE,CR003,2025-06-03,2025-06-02,On Time
214,SO0214,SALE,CR004,2025-05-07,2025-05-06,On Time
215,SO0215,SALE,CR001,2025-04-11,2025-04-14,Delayed
216,SO0216,SALE,CR003,2025-07-02,2025-07-05,Delayed
217,SO0217,SALE,CR004,2025-04-20,2025-04-20,On Time
218,SO0218,SALE,CR002,2025-04-10,2025-04-17,Delayed
219,SO0219,SALE,CR004,2025-01-13,2025-01-13,On Time
220,SO0220,SALE,CR004,2025-01-30,2025-01-30,On Time
221,SO0221,SALE,CR002,2025-01-06,2025-01-06,On Time
222,SO0222,SALE,CR005,2025-03-14,2025-03-16,Delayed
223,SO0223,SALE,CR005,2025-03-30,2025-04-02,Delayed
224,SO0224,SALE,CR005,2025-05-08,2025-05-08,On Time
225,SO0225,SALE,CR005,2025-06-16,2025-06-16,On Time
226,SO0226,SALE,CR002,2025-01-28,2025-01-28,On Time
227,SO0227,SALE,CR004,2025-01-10,2025-01-10,On Time
228,SO0228,SALE,CR002,2025-04-08,2025-04-13,Delayed
229,SO0229,SALE,CR004,2025-05-29,2025-05-29,On Time
230,SO0230,SALE,CR001,2025-04-13,2025-04-14,Delayed
231,SO0231,SALE,CR004,2025-06-01,2025-06-01,On Time
232,SO0232,SALE,CR004,2025-05-03,2025-05-03,On Time
233,SO0233,SALE,CR003,2025-05-04,2025-05-04,On Time
234,SO0234,SALE,CR004,2025-04-26,2025-04-26,On Time
235,SO0235,SALE,CR005,2025-04-21,2025-04-21,On Time
236,SO0236,SALE,CR002,2025-04-12,2025-04-15,Delayed
237,SO0237,SALE,CR004,2025-04-05,2025-04-05,On Time
238,SO0238,SALE,CR001,2025-06-20,2025-06-23,Delayed
239,SO0239,SALE,CR002,2025-06-30,2025-07-05,Delayed
240,SO0240,SALE,CR005,2025-03-17,2025-03-17,On Time
241,SO0241,SALE,CR003,2025-02-22,2025-02-24,Delayed
242,SO0242,SALE,CR003,2025-06-15,2025-06-18,Delayed
243,SO0243,SALE,CR004,2025-04-09,2025-04-09,On Time
244,SO0244,SALE,CR005,2025-04-21,2025-04-23,Delayed
245,SO0245,SALE,CR001,2025-04-09,2025-04-10,Delayed
246,SO0246,SALE,CR005,2025-03-11,2025-03-12,Delayed
247,SO0247,SALE,CR001,2025-04-01,2025-04-01,On Time
248,SO0248,SALE,CR003,2025-03-04,2025-03-04,On Time
249,SO0249,SALE,CR003,2025-04-16,2025-04-19,Delayed
250,SO0250,SALE,CR005,2025-04-09,2025-04-09,On Time
251,SO0251,SALE,CR005,2025-04-09,2025-04-12,Delayed
252,SO0252,SALE,CR002,2025-06-13,2025-06-15,Delayed
253,SO0253,SALE,CR003,2025-01-19,2025-01-21,Delayed
254,SO0254,SALE,CR004,2025-02-03,2025-02-08,Delayed
255,SO0255,SALE,CR005,2025-05-12,2025-05-14,Delayed
256,SO0256,SALE,CR002,2025-02-07,2025-02-07,On Time
257,SO0257,SALE,CR003,2025-07-03,2025-07-08,Delayed
258,SO0258,SALE,CR005,2025-02-13,2025-02-16,Delayed
259,SO0259,SALE,CR004,2025-06-10,2025-06-10,On Time
260,SO0260,SALE,CR005,2025-02-28,2025-03-02,Delayed
261,SO0261,SALE,CR003,2025-01-29,2025-02-03,Delayed
262,SO0262,SALE,CR002,2025-03-14,2025-03-14,On Time
263,SO0263,SALE,CR003,2025-02-28,2025-02-28,On Time
264,SO0264,SALE,CR003,2025-03-08,2025-03-08,On Time
265,SO0265,SALE,CR004,2025-05-27,2025-05-30,Delayed
266,SO0266,SALE,CR005,2025-03-03,2025-03-06,Delayed
267,SO0267,SALE,CR002,2025-06-04,2025-06-05,Delayed
268,SO0268,SALE,CR004,2025-05-21,2025-05-24,Delayed
269,SO0269,SALE,CR002,2025-01-11,2025-01-11,On Time
270,SO0270,SALE,CR003,2025-03-05,2025-03-12,Delayed
271,SO0271,SALE,CR004,2025-01-19,2025-01-26,Delayed
272,SO0272,SALE,CR002,2025-01-20,2025-01-20,On Time
273,SO0273,SALE,CR002,2025-01-30,2025-01-31,Delayed
274,SO0274,SALE,CR001,2025-01-16,2025-01-17,Delayed
275,SO0275,SALE,CR002,2025-01-13,2025-01-13,On Time
276,SO0276,SALE,CR001,2025-01-31,2025-02-01,Delayed
277,SO0277,SALE,CR004,2025-01-24,2025-01-25,Delayed
278,SO0278,SALE,CR004,2025-03-17,2025-03-17,On Time
279,SO0279,SALE,CR005,2025-03-30,2025-03-29,On Time
280,SO0280,SALE,CR001,2025-05-13,2025-05-15,Delayed
281,SO0281,SALE,CR005,2025-02-03,2025-02-05,Delayed
282,SO0282,SALE,CR001,2025-03-03,2025-03-02,On Time
283,SO0283,SALE,CR003,2025-01-28,2025-01-28,On Time
284,SO0284,SALE,CR004,2025-04-10,2025-04-10,On Time
285,SO0285,SALE,CR001,2025-01-26,2025-01-26,On Time
286,SO0286,SALE,CR004,2025-04-10,2025-04-15,Delayed
287,SO0287,SALE,CR002,2025-05-28,2025-05-28,On Time
288,SO0288,SALE,CR004,2025-06-24,2025-07-01,Delayed
289,SO0289,SALE,CR002,2025-06-07,2025-06-09,Delayed
290,SO0290,SALE,CR002,2025-03-01,2025-02-28,On Time
291,SO0291,SALE,CR001,2025-01-31,2025-01-31,On Time
292,SO0292,SALE,CR001,2025-03-16,2025-03-16,On Time
293,SO0293,SALE,CR003,2025-06-14,2025-06-17,Delayed
294,SO0294,SALE,CR001,2025-06-20,2025-06-21,Delayed
295,SO0295,SALE,CR001,2025-03-23,2025-03-25,Delayed
296,SO0296,SALE,CR004,2025-02-08,2025-02-10,Delayed
297,SO0297,SALE,CR005,2025-06-17,2025-06-17,On Time
298,SO0298,SALE,CR002,2025-04-22,2025-04-23,Delayed
299,SO0299,SALE,CR001,2025-03-28,2025-03-30,Delayed
300,SO0300,SALE,CR001,2025-02-13,2025-02-13,On Time
301,PO0001,PURCHASE,CR005,2025-02-05,2025-02-06,Delayed
302,PO0002,PURCHASE,CR004,2025-05-08,2025-05-10,Delayed
303,PO0003,PURCHASE,CR005,2025-02-05,2025-02-06,Delayed
304,PO0004,PURCHASE,CR001,2025-06-29,2025-06-29,On Time
305,PO0005,PURCHASE,CR002,2025-04-24,2025-04-24,On Time
306,PO0006,PURCHASE,CR002,2025-03-05,2025-03-09,Delayed
307,PO0007,PURCHASE,CR003,2025-01-12,2025-01-14,Delayed
308,PO0008,PURCHASE,CR004,2025-05-24,2025-05-22,On Time
309,PO0009,PURCHASE,CR004,2025-01-19,2025-01-21,Delayed
310,PO0010,PURCHASE,CR001,2025-04-01,2025-04-01,On Time
311,PO0011,PURCHASE,CR001,2025-05-02,2025-05-01,On Time
312,PO0012,PURCHASE,CR002,2025-04-08,2025-04-10,Delayed
313,PO0013,PURCHASE,CR001,2025-02-03,2025-02-05,Delayed
314,PO0014,PURCHASE,CR002,2025-04-18,2025-04-24,Delayed
315,PO0015,PURCHASE,CR003,2025-02-25,2025-03-07,Delayed
316,PO0016,PURCHASE,CR001,2025-04-09,2025-04-10,Delayed
317,PO0017,PURCHASE,CR003,2025-03-14,2025-03-18,Delayed
318,PO0018,PURCHASE,CR003,2025-06-27,2025-07-01,Delayed
319,PO0019,PURCHASE,CR001,2025-06-05,2025-06-07,Delayed
320,PO0020,PURCHASE,CR002,2025-06-15,2025-06-13,On Time
321,PO0021,PURCHASE,CR003,2025-05-09,2025-05-11,Delayed
322,PO0022,PURCHASE,CR005,2025-01-29,2025-02-04,Delayed
323,PO0023,PURCHASE,CR001,2025-04-14,2025-04-18,Delayed
324,PO0024,PURCHASE,CR002,2025-05-20,2025-05-24,Delayed
325,PO0025,PURCHASE,CR004,2025-06-02,2025-06-02,On Time
326,PO0026,PURCHASE,CR004,2025-01-25,2025-01-29,Delayed
327,PO0027,PURCHASE,CR002,2025-02-02,2025-02-04,Delayed
328,PO0028,PURCHASE,CR001,2025-04-29,2025-04-29,On Time
329,PO0029,PURCHASE,CR005,2025-03-21,2025-03-21,On Time
330,PO0030,PURCHASE,CR004,2025-01-26,2025-01-30,Delayed
331,PO0031,PURCHASE,CR003,2025-06-30,2025-07-01,Delayed
332,PO0032,PURCHASE,CR002,2025-07-02,2025-06-30,On Time
333,PO0033,PURCHASE,CR001,2025-07-01,2025-07-07,Delayed
334,PO0034,PURCHASE,CR001,2025-07-09,2025-07-10,Delayed
335,PO0035,PURCHASE,CR001,2025-04-16,2025-04-18,Delayed
336,PO0036,PURCHASE,CR005,2025-05-04,2025-05-05,Delayed
337,PO0037,PURCHASE,CR003,2025-03-02,2025-03-02,On Time
338,PO0038,PURCHASE,CR005,2025-02-18,2025-02-19,Delayed
339,PO0039,PURCHASE,CR002,2025-02-01,2025-02-01,On Time
340,PO0040,PURCHASE,CR004,2025-06-20,2025-06-20,On Time
341,PO0041,PURCHASE,CR005,2025-07-04,2025-07-08,Delayed
342,PO0042,PURCHASE,CR002,2025-04-18,2025-04-17,On Time
343,PO0043,PURCHASE,CR004,2025-05-08,2025-05-12,Delayed
344,PO0044,PURCHASE,CR004,2025-05-08,2025-05-07,On Time
345,PO0045,PURCHASE,CR003,2025-03-24,2025-03-24,On Time
346,PO0046,PURCHASE,CR005,2025-06-09,2025-06-10,Delayed
347,PO0047,PURCHASE,CR002,2025-04-21,2025-04-21,On Time
348,PO0048,PURCHASE,CR005,2025-02-17,2025-02-18,Delayed
349,PO0049,PURCHASE,CR004,2025-02-05,2025-02-04,On Time
350,PO0050,PURCHASE,CR004,2025-04-29,2025-04-29,On Time
351,PO0051,PURCHASE,CR004,2025-04-24,2025-04-22,On Time
352,PO0052,PURCHASE,CR005,2025-02-06,2025-02-04,On Time
353,PO0053,PURCHASE,CR005,2025-05-06,2025-05-10,Delayed
354,PO0054,PURCHASE,CR005,2025-02-04,2025-02-05,Delayed
355,PO0055,PURCHASE,CR004,2025-06-03,2025-06-03,On Time
356,PO0056,PURCHASE,CR001,2025-03-12,2025-03-12,On Time
357,PO0057,PURCHASE,CR003,2025-06-21,2025-06-25,Delayed
358,PO0058,PURCHASE,CR005,2025-05-21,2025-05-23,Delayed
359,PO0059,PURCHASE,CR003,2025-03-28,2025-03-30,Delayed
360,PO0060,PURCHASE,CR002,2025-04-29,2025-04-29,On Time
361,PO0061,PURCHASE,CR003,2025-05-20,2025-05-20,On Time
362,PO0062,PURCHASE,CR001,2025-01-25,2025-01-26,Delayed
363,PO0063,PURCHASE,CR004,2025-04-07,2025-04-13,Delayed
364,PO0064,PURCHASE,CR004,2025-06-17,2025-06-21,Delayed
365,PO0065,PURCHASE,CR002,2025-05-26,2025-05-26,On Time
366,PO0066,PURCHASE,CR004,2025-05-11,2025-05-11,On Time
367,PO0067,PURCHASE,CR002,2025-05-06,2025-05-07,Delayed
368,PO0068,PURCHASE,CR004,2025-03-03,2025-03-03,On Time
369,PO0069,PURCHASE,CR005,2025-05-25,2025-05-31,Delayed
370,PO0070,PURCHASE,CR004,2025-02-24,2025-02-26,Delayed
371,PO0071,PURCHASE,CR005,2025-04-07,2025-04-09,Delayed
372,PO0072,PURCHASE,CR001,2025-04-20,2025-04-30,Delayed
373,PO0073,PURCHASE,CR005,2025-05-21,2025-05-23,Delayed
374,PO0074,PURCHASE,CR004,2025-04-30,2025-05-04,Delayed
375,PO0075,PURCHASE,CR002,2025-04-06,2025-04-08,Delayed
376,PO0076,PURCHASE,CR002,2025-04-03,2025-04-03,On Time
377,PO0077,PURCHASE,CR005,2025-04-06,2025-04-06,On Time
378,PO0078,PURCHASE,CR005,2025-05-06,2025-05-10,Delayed
379,PO0079,PURCHASE,CR005,2025-04-25,2025-04-25,On Time
380,PO0080,PURCHASE,CR003,2025-06-13,2025-06-13,On Time
381,PO0081,PURCHASE,CR002,2025-06-24,2025-06-25,Delayed
382,PO0082,PURCHASE,CR005,2025-01-16,2025-01-16,On Time
383,PO0083,PURCHASE,CR005,2025-04-15,2025-04-19,Delayed
384,PO0084,PURCHASE,CR005,2025-04-22,2025-04-24,Delayed
385,PO0085,PURCHASE,CR002,2025-01-22,2025-01-22,On Time
386,PO0086,PURCHASE,CR003,2025-02-14,2025-02-16,Delayed
387,PO0087,PURCHASE,CR002,2025-06-21,2025-06-21,On Time
388,PO0088,PURCHASE,CR003,2025-02-01,2025-02-02,Delayed
389,PO0089,PURCHASE,CR005,2025-06-30,2025-07-02,Delayed
390,PO0090,PURCHASE,CR004,2025-03-28,2025-03-29,Delayed
391,PO0091,PURCHASE,CR005,2025-05-26,2025-05-28,Delayed
392,PO0092,PURCHASE,CR004,2025-03-11,2025-03-15,Delayed
393,PO0093,PURCHASE,CR001,2025-04-10,2025-04-11,Delayed
394,PO0094,PURCHASE,CR001,2025-04-23,2025-04-23,On Time
395,PO0095,PURCHASE,CR002,2025-01-27,2025-01-27,On Time
396,PO0096,PURCHASE,CR002,2025-07-03,2025-07-05,Delayed
397,PO0097,PURCHASE,CR003,2025-05-27,2025-05-29,Delayed
398,PO0098,PURCHASE,CR001,2025-01-23,2025-01-25,Delayed
399,PO0099,PURCHASE,CR001,2025-04-03,2025-04-07,Delayed
400,PO0100,PURCHASE,CR005,2025-03-20,2025-03-24,Delayed
401,PO0101,PURCHASE,CR005,2025-06-15,2025-06-17,Delayed
402,PO0102,PURCHASE,CR003,2025-06-12,2025-06-12,On Time
403,PO0103,PURCHASE,CR004,2025-06-19,2025-06-18,On Time
404,PO0104,PURCHASE,CR003,2025-06-25,2025-06-25,On Time
405,PO0105,PURCHASE,CR003,2025-04-30,2025-04-29,On Time
