sale_id,sale_date,customer_id,product_id,quantity,unit_price
SO0042,2025-05-22,C010,P008,8,133.13
SO0043,2025-06-11,C004,P002,3,2348.95
SO0044,2025-03-26,C009,P003,8,1775.16
SO0045,2025-05-05,C009,P007,5,57.42
SO0046,2025-05-27,C008,P019,8,220.92
SO0047,2025-04-15,C002,P007,4,56.96
SO0048,2025-04-01,C007,P014,15,19.12
SO0049,2025-01-14,C001,P004,13,543.23
SO0050,2025-01-28,C004,P008,7,142.76
SO0051,2025-02-05,C003,P014,9,18.18
SO0052,2025-01-20,C013,P015,18,91.46
SO0053,2025-06-16,C014,P018,1,37.66
SO0054,2025-03-02,C007,P006,16,86.07
SO0055,2025-04-13,C003,P002,13,2090.62
SO0056,2025-04-10,C015,P009,15,769.92
SO0057,2025-06-28,C011,P018,16,33.95
SO0058,2025-03-17,C001,P007,19,57.51
SO0059,2025-01-16,C001,P011,2,328.3
SO0060,2025-05-09,C003,P017,2,23.65
SO0061,2025-01-21,C002,P006,20,81.5
SO0062,2025-03-02,C002,P013,19,73.65
SO0063,2025-06-02,C010,P002,3,2209.9
SO0064,2025-05-30,C009,P019,11,225.02
SO0065,2025-02-22,C004,P011,9,320.46
SO0066,2025-06-21,C008,P010,11,1017.23
SO0067,2025-01-19,C008,P001,20,2645.51
SO0068,2025-01-26,C009,P003,7,1828.38
SO0069,2025-02-03,C015,P012,3,691.8
SO0070,2025-04-05,C003,P010,15,1005.47
SO0071,2025-06-30,C010,P010,17,903.47
SO0072,2025-05-22,C015,P010,4,1018.46
SO0073,2025-02-04,C002,P009,4,816.28
SO0074,2025-02-09,C005,P009,20,762.36
SO0075,2025-03-29,C011,P007,9,55.86
SO0076,2025-03-06,C002,P002,14,2327.19
SO0077,2025-01-12,C006,P001,5,2530.42
SO0078,2025-03-09,C012,P006,15,86.85
SO0079,2025-04-20,C001,P018,4,33.59
SO0080,2025-06-26,C009,P005,2,762.12
SO0081,2025-05-30,C003,P018,14,33.83
SO0082,2025-03-20,C015,P012,2,693.46
SO0083,2025-02-23,C011,P008,4,139.44
SO0084,2025-05-24,C010,P014,5,19.27
SO0085,2025-03-02,C013,P006,6,90.49
SO0086,2025-01-07,C012,P006,11,89.4
SO0087,2025-04-16,C005,P008,6,147.33
SO0088,2025-01-28,C014,P013,2,79.62
SO0089,2025-02-26,C014,P007,15,54.75
SO0090,2025-02-28,C001,P008,7,140.25
SO0091,2025-03-13,C013,P003,9,1792.17
SO0092,2025-05-11,C011,P013,18,74.48
SO0093,2025-01-08,C015,P004,9,506.07
SO0094,2025-03-09,C002,P002,20,2214.29
SO0095,2025-03-22,C010,P014,17,17.37
SO0096,2025-05-28,C005,P007,2,57.32
SO0097,2025-01-01,C015,P017,18,22.86
SO0098,2025-06-21,C006,P007,14,52.75
SO0099,2025-06-20,C010,P011,11,331.6
SO0100,2025-02-01,C009,P010,10,984.86
SO0101,2025-03-25,C012,P013,10,76.66
SO0102,2025-02-19,C011,P014,13,18.68
SO0103,2025-02-14,C010,P020,10,180.5
SO0104,2025-01-01,C005,P010,7,955.59
SO0105,2025-05-29,C011,P020,11,181.88
SO0106,2025-04-24,C009,P007,16,57.93
SO0107,2025-02-13,C005,P003,17,1865.34
SO0108,2025-06-08,C002,P011,8,331.99
SO0109,2025-02-27,C003,P007,1,52.58
SO0110,2025-05-02,C014,P020,3,181.66
SO0111,2025-06-11,C004,P019,13,213.0
SO0112,2025-03-04,C011,P005,1,767.55
SO0113,2025-01-28,C004,P014,6,18.98
SO0114,2025-06-28,C008,P017,2,22.49
SO0115,2025-02-01,C003,P015,15,98.49
SO0116,2025-05-24,C006,P020,15,185.34
SO0117,2025-05-10,C014,P014,18,18.14
SO0118,2025-02-10,C008,P016,9,125.73
SO0119,2025-06-13,C013,P009,17,790.14
SO0120,2025-03-03,C008,P009,3,813.35
SO0121,2025-03-02,C006,P009,11,831.55
SO0122,2025-01-21,C003,P005,8,719.85
SO0123,2025-02-09,C002,P007,14,55.16
SO0124,2025-05-19,C007,P015,2,92.8
SO0125,2025-04-18,C015,P013,19,80.47
SO0126,2025-01-06,C007,P019,16,199.66
SO0127,2025-04-01,C013,P010,13,1007.9
SO0128,2025-04-18,C012,P018,18,36.89
SO0129,2025-02-26,C004,P016,9,120.8
SO0130,2025-01-08,C006,P013,13,78.31
SO0131,2025-04-30,C010,P005,18,686.52
SO0132,2025-04-11,C010,P019,1,201.79
SO0133,2025-04-20,C014,P005,15,701.01
SO0134,2025-03-08,C006,P013,7,75.68
SO0135,2025-03-28,C005,P013,14,73.71
SO0136,2025-01-21,C001,P016,18,114.81
SO0137,2025-03-31,C011,P008,3,147.22
SO0138,2025-06-16,C013,P002,1,2361.59
SO0139,2025-02-21,C010,P001,5,2403.48
SO0140,2025-05-02,C010,P004,7,525.44
SO0141,2025-03-07,C003,P012,20,668.81
SO0142,2025-01-30,C005,P006,4,87.14
SO0143,2025-03-21,C011,P019,13,210.33
SO0144,2025-02-20,C010,P003,8,1733.84
SO0145,2025-03-19,C013,P020,4,189.63
SO0146,2025-05-25,C006,P002,18,2212.52
SO0147,2025-04-05,C009,P003,11,1712.96
SO0148,2025-04-18,C002,P016,14,128.99
SO0149,2025-06-12,C012,P015,5,95.63
SO0150,2025-05-14,C010,P009,18,819.55
SO0151,2025-04-30,C014,P014,19,17.73
SO0152,2025-03-04,C005,P003,15,1767.06
SO0153,2025-04-29,C010,P019,13,208.68
SO0154,2025-05-07,C003,P011,16,312.82
SO0155,2025-03-08,C005,P011,20,333.17
SO0156,2025-03-12,C001,P018,17,37.56
SO0157,2025-01-22,C012,P008,14,141.89
SO0158,2025-03-03,C011,P016,16,120.99
SO0159,2025-01-05,C005,P003,8,1804.63
SO0160,2025-03-04,C011,P010,19,948.07
SO0161,2025-05-22,C006,P017,14,23.75
SO0162,2025-05-21,C006,P011,15,315.27
SO0163,2025-03-06,C002,P008,7,138.74
SO0164,2025-05-18,C004,P006,7,88.91
SO0165,2025-03-12,C013,P019,17,215.79
SO0166,2025-01-26,C005,P007,8,54.83
SO0167,2025-03-19,C012,P001,18,2367.82
SO0168,2025-01-12,C009,P002,10,2289.46
SO0169,2025-02-02,C002,P016,1,122.96
SO0170,2025-05-01,C008,P016,11,116.88
SO0171,2025-01-14,C014,P009,16,752.57
SO0172,2025-01-17,C008,P013,3,76.88
SO0173,2025-06-25,C003,P002,5,2321.99
SO0174,2025-03-19,C004,P003,4,1840.59
SO0175,2025-04-17,C010,P020,20,176.28
SO0176,2025-05-14,C008,P013,15,74.15
SO0177,2025-05-31,C005,P014,19,18.55
SO0178,2025-06-06,C013,P004,7,536.28
SO0179,2025-03-09,C003,P003,8,1750.67
SO0180,2025-01-20,C001,P006,14,85.73
SO0181,2025-06-02,C005,P016,2,117.61
SO0182,2025-06-30,C012,P010,15,911.29
SO0183,2025-03-01,C013,P009,19,808.04
SO0184,2025-02-20,C002,P014,18,17.63
SO0185,2025-02-08,C014,P009,5,748.24
SO0186,2025-02-12,C010,P010,19,1016.27
SO0187,2025-04-23,C008,P004,10,541.3
SO0188,2025-03-11,C009,P017,16,22.15
SO0189,2025-06-03,C015,P002,14,2300.08
SO0190,2025-06-04,C001,P009,3,764.21
SO0191,2025-06-22,C010,P019,1,226.79
SO0192,2025-06-22,C010,P009,2,818.38
SO0193,2025-02-14,C009,P016,15,128.29
SO0194,2025-02-16,C007,P019,16,225.96
SO0195,2025-05-01,C007,P012,11,644.63
SO0196,2025-01-27,C006,P006,14,88.42
SO0197,2025-03-15,C014,P013,18,71.61
SO0198,2025-01-23,C005,P011,11,308.82
SO0199,2025-04-14,C014,P017,1,22.78
SO0200,2025-05-19,C007,P015,2,92.57
SO0201,2025-04-03,C013,P020,16,185.63
SO0202,2025-01-14,C005,P007,18,53.19
SO0203,2025-03-15,C015,P015,16,91.75
SO0204,2025-06-11,C013,P020,8,187.61
SO0205,2025-03-21,C001,P018,18,35.11
SO0206,2025-02-27,C008,P004,4,537.79
SO0207,2025-02-09,C015,P016,10,121.94
SO0208,2025-03-11,C014,P014,16,19.39
SO0209,2025-03-04,C009,P015,5,94.99
SO0210,2025-06-03,C012,P017,5,23.37
SO0211,2025-03-12,C006,P014,17,17.73
SO0212,2025-01-01,C012,P010,10,1005.93
SO0213,2025-05-29,C014,P016,5,120.97
SO0214,2025-05-04,C006,P012,18,681.96
SO0215,2025-04-07,C015,P015,11,100.99
SO0216,2025-06-28,C010,P008,13,137.25
SO0217,2025-04-16,C006,P002,16,2291.7
SO0218,2025-04-08,C011,P013,5,76.08
SO0219,2025-01-10,C009,P005,19,715.07
SO0220,2025-01-26,C002,P015,17,101.49
SO0221,2025-01-04,C007,P005,5,691.0
SO0222,2025-03-09,C010,P011,13,331.03
SO0223,2025-03-26,C007,P018,11,36.1
SO0224,2025-05-05,C001,P018,20,33.56
SO0225,2025-06-11,C004,P010,3,956.1
SO0226,2025-01-26,C008,P004,6,540.91
SO0227,2025-01-08,C006,P002,2,2173.9
SO0228,2025-04-06,C003,P014,8,18.34
SO0229,2025-05-25,C003,P006,6,81.62
SO0230,2025-04-08,C011,P020,8,182.65
SO0231,2025-05-30,C004,P005,15,743.71
SO0232,2025-04-28,C011,P009,1,832.15
SO0233,2025-04-30,C011,P010,18,922.01
SO0234,2025-04-24,C010,P012,10,671.49
SO0235,2025-04-19,C008,P009,10,761.2
SO0236,2025-04-09,C002,P016,8,119.95
SO0237,2025-04-02,C005,P019,10,200.1
SO0238,2025-06-18,C005,P013,1,76.77
SO0239,2025-06-25,C015,P002,20,2303.12
SO0240,2025-03-15,C010,P008,12,136.99
SO0241,2025-02-18,C005,P020,5,185.7
SO0242,2025-06-10,C005,P002,15,2099.54
SO0243,2025-04-04,C002,P005,10,714.58
SO0244,2025-04-17,C004,P006,5,89.44
SO0245,2025-04-04,C009,P017,9,23.28
SO0246,2025-03-07,C013,P016,10,125.65
SO0247,2025-03-28,C008,P004,3,503.52
SO0248,2025-02-27,C014,P013,18,74.82
SO0249,2025-04-12,C005,P001,18,2366.86
SO0250,2025-04-05,C010,P009,13,824.39
SO0251,2025-04-06,C011,P004,8,525.87
SO0252,2025-06-08,C006,P018,20,34.26
SO0253,2025-01-17,C015,P015,10,98.27
SO0254,2025-01-30,C001,P005,2,712.49
SO0255,2025-05-07,C002,P004,8,553.98
SO0256,2025-02-04,C008,P013,12,77.79
SO0257,2025-06-28,C007,P018,19,36.63
SO0258,2025-02-09,C011,P014,4,19.05
SO0259,2025-06-07,C005,P014,2,18.72
SO0260,2025-02-25,C008,P015,8,100.81
SO0261,2025-01-26,C009,P012,12,622.62
SO0262,2025-03-12,C002,P007,15,52.91
SO0263,2025-02-24,C001,P020,2,189.41
SO0264,2025-03-04,C013,P005,19,703.21
SO0265,2025-05-22,C010,P007,7,58.06
SO0266,2025-03-01,C013,P011,5,336.81
SO0267,2025-06-02,C005,P001,5,2642.03
SO0268,2025-05-19,C013,P009,6,752.15
SO0269,2025-01-07,C001,P005,12,757.94
SO0270,2025-03-02,C006,P019,1,204.26
SO0271,2025-01-14,C012,P005,14,733.24
SO0272,2025-01-17,C008,P016,12,122.01
SO0273,2025-01-28,C009,P015,8,101.93
SO0274,2025-01-12,C005,P017,15,22.74
SO0275,2025-01-08,C008,P002,13,2211.91
SO0276,2025-01-28,C012,P016,15,115.15
SO0277,2025-01-21,C010,P011,5,306.73
SO0278,2025-03-12,C011,P020,19,183.83
SO0279,2025-03-25,C010,P013,17,74.13
SO0280,2025-05-10,C007,P020,4,189.56
SO0281,2025-01-30,C012,P018,7,35.21
SO0282,2025-02-28,C006,P014,15,18.03
SO0283,2025-01-25,C007,P011,11,331.67
SO0284,2025-04-06,C011,P005,16,690.28
SO0285,2025-01-22,C007,P003,4,1884.23
SO0286,2025-04-06,C009,P005,2,738.89
SO0287,2025-05-24,C006,P018,4,35.12
SO0288,2025-06-20,C014,P014,2,19.37
SO0289,2025-06-03,C006,P010,4,973.87
SO0290,2025-02-24,C011,P005,16,704.99
SO0291,2025-01-28,C014,P012,18,648.56
SO0292,2025-03-13,C004,P019,14,222.57
SO0293,2025-06-09,C011,P020,18,171.61
SO0294,2025-06-18,C001,P009,6,768.71
SO0295,2025-03-21,C006,P011,1,311.55
SO0296,2025-02-06,C011,P019,13,201.4
SO0297,2025-06-12,C002,P001,17,2396.02
SO0298,2025-04-18,C006,P015,6,94.82
SO0299,2025-03-25,C010,P019,3,223.62
SO0300,2025-02-09,C013,P006,20,81.3
